Hour,Temperature (C),Humidity (%),Energy (Wh)
0,50.10,21.21,158.32
1,97.30,21.61,103.80
2,61.47,21.00,105.32
3,84.43,20.97,103.81
4,85.53,20.96,101.56
5,60.92,21.26,107.73
6,97.98,21.33,104.05
7,49.98,21.06,106.20
8,98.03,21.01,106.78
9,63.08,20.99,103.23
10,86.58,20.99,186.83
11,82.98,21.21,273.07
12,66.38,20.95,606.80
13,98.78,20.86,324.80
14,50.08,20.85,375.27
15,99.35,20.79,355.65
16,53.68,20.96,338.68
17,93.83,20.78,145.87
18,73.25,20.70,118.66
19,77.90,20.69,105.77
20,91.27,20.68,102.98
21,59.75,21.09,110.29
22,99.10,20.86,103.08
23,50.22,20.63,112.33
