Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,7949.77,85.21,23.26,-77.14
S2,98.33,6514.21,81.66,22.35,-45.15
S3,95.83,4360.88,76.33,20.98,2.83
