Hour,Temperature (C),Humidity (%),Energy (Wh)
0,50.05,22.50,122.77
1,111.71,22.60,107.63
2,54.82,22.35,127.36
3,105.17,22.30,124.02
4,67.54,22.30,128.52
5,92.96,22.44,131.68
6,75.61,22.47,204.39
7,85.04,22.31,185.01
8,79.09,22.27,246.10
9,87.17,22.25,639.93
10,76.25,22.28,460.04
11,91.91,22.41,627.68
12,72.99,22.32,883.38
13,96.45,22.29,286.90
14,68.32,22.29,233.23
15,93.40,22.27,221.44
16,72.72,22.34,319.80
17,89.56,22.27,270.50
18,82.75,22.26,254.67
19,80.28,22.31,265.15
20,92.50,22.41,285.75
21,70.56,22.54,145.71
22,98.85,22.36,120.34
23,64.15,22.24,122.19
