Hour,Temperature (C),Humidity (%),Energy (Wh)
0,71.68,20.98,331.78
1,58.90,21.09,415.19
2,59.05,21.18,236.35
3,66.17,21.25,114.68
4,65.28,21.32,194.15
5,59.05,21.42,91.40
6,59.10,21.50,108.17
7,72.10,21.50,229.33
8,59.13,21.55,328.72
9,58.90,21.60,637.98
10,64.53,21.63,365.13
11,66.20,21.67,369.82
12,59.02,21.67,241.38
13,58.83,21.65,89.05
14,69.33,21.60,79.25
15,60.65,21.53,73.00
16,58.67,21.47,79.37
17,59.85,21.39,86.65
18,69.63,21.31,87.88
19,58.38,21.24,249.48
20,58.47,21.18,231.00
21,63.83,21.11,112.97
22,65.15,21.00,80.98
23,58.38,20.93,99.02
