time,sPMV,baseline,flexibility_below,flexibility_above,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic_baseline,synthetic_flexibility_above,synthetic_flexibility_below,co2_ppm,forecasted_sPMV,synthetic_t_r,synthetic_rh_r,synthetic_energy
2024-07-01 00:00:00+00:00,1.88,66.40733695652173,63.03521739130437,70.97304347826086,45.45,30.886543821002785,47.35596735977713,0,0,0,1,1,1,665.52578851709,-0.32349962,,,
2024-07-01 01:00:00+00:00,1.87,66.05396739130434,62.49695652173912,71.34434782608696,45.97,30.8155275875278,48.73620531302777,1,0,0,1,1,1,479.5057545005411,-0.3225632,,,
2024-07-01 02:00:00+00:00,1.83,65.6006884057971,62.12847826086959,70.3278260869565,45.8,30.671012327194468,49.69091614613887,2,0,0,1,1,1,453.7170673698674,-0.32093862,,,
2024-07-01 03:00:00+00:00,1.85,65.71048913043478,61.86760869565216,71.24065217391303,45.82,30.7050826810833,50.02284088155554,3,0,0,1,1,1,485.9548407203967,-0.31965336,,,
2024-07-01 04:00:00+00:00,1.89,67.02773550724638,62.32304347826082,73.08152173913041,45.13,30.84572195422227,49.91676210824998,4,0,0,1,1,1,410.9421655312351,-0.31888554,,,
2024-07-01 05:00:00+00:00,1.96,68.69351449275361,62.1476086956522,79.59608695652173,46.33,31.08747198308332,49.8606485260278,5,0,0,1,1,1,545.1792818377863,-0.31725928,,,
2024-07-01 06:00:00+00:00,2.07,73.86231884057973,62.43065217391305,91.88086956521737,46.05,31.48687522292132,48.44314831297751,6,0,0,1,1,1,717.6524346197118,-0.31527212,,,
2024-07-01 07:00:00+00:00,2.0,80.1748731884058,64.6028260869565,101.98043478260868,46.12,31.22038875105558,49.438667996972256,7,0,0,1,1,1,815.8969074553316,-0.31282935,,,
2024-07-01 08:00:00+00:00,1.93,94.7215760869565,68.40565217391305,140.5245652173913,45.73,30.99009453264625,49.78379561434543,8,0,0,1,1,1,888.2106914298099,-0.3097814,,,
2024-07-01 09:00:00+00:00,1.93,91.3640925925926,65.29022222222223,145.8468888888889,45.18,30.99283327475,49.7592024276389,9,0,0,1,1,1,1103.3646280987246,-0.3059897,,,
2024-07-01 10:00:00+00:00,2.04,114.55278985507248,78.49652173913044,152.95282608695652,45.52,31.29799945597225,51.5405172877222,10,0,0,1,1,1,1107.771313087553,-0.30132905,,,
2024-07-01 11:00:00+00:00,2.12,183.3946376811595,91.90760869565216,301.365652173913,45.97,31.60311115005557,50.62732016230554,11,0,0,1,1,1,1318.1906104400534,-0.29570535,,,
2024-07-01 12:00:00+00:00,1.88,117.09528985507248,76.85717391304347,174.83173913043476,45.92,30.93475015363892,45.64758596422225,12,0,0,1,1,1,1170.0993101721456,-0.28885028,,,
2024-07-01 13:00:00+00:00,1.87,69.19876811594202,61.92782608695653,78.7063043478261,45.65,30.93427719530556,44.308628241388895,13,0,0,1,1,1,1086.38298549535,-0.28044072,,,
2024-07-01 14:00:00+00:00,1.86,75.60333333333331,62.93239130434781,99.16978260869564,45.75,30.82438845097224,47.30595724347226,14,0,0,1,1,1,1014.5753033308592,-0.27003923,,,
2024-07-01 15:00:00+00:00,1.62,93.12051136363635,66.33545454545455,141.80659090909083,46.35,30.081110625472228,44.265094099944434,15,0,0,1,1,1,1136.0534311097524,-0.25724855,,,
2024-07-01 16:00:00+00:00,1.65,109.43092592592592,73.48511111111112,187.66244444444445,46.0,30.13724018880221,46.005054516378834,16,0,0,1,1,1,1172.5747019166524,-0.24137211,,,
