Hour,Temperature (C),Humidity (%),Energy (Wh)
0,214.42,24.83,nan
1,277.99,23.70,nan
2,254.39,23.85,nan
3,233.30,24.01,nan
4,223.16,24.28,nan
5,207.19,24.39,nan
6,150.36,24.22,nan
7,94.18,24.00,nan
8,76.52,23.85,nan
9,74.36,23.75,nan
10,74.08,23.62,nan
11,76.95,23.51,nan
12,82.31,23.35,nan
13,101.34,23.32,nan
14,145.46,23.35,nan
15,144.52,23.26,nan
16,107.31,23.37,nan
17,184.72,23.54,nan
18,317.85,23.64,nan
19,307.84,23.85,nan
20,196.22,23.97,nan
21,116.91,23.99,nan
22,101.93,24.00,nan
23,135.34,24.00,nan
