Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,nan,162.78,23.77,nan
S2,98.33,nan,162.44,23.82,nan
S3,95.83,nan,161.94,23.89,nan
