Hour,Temperature (C),Humidity (%),Energy (Wh)
0,267.26,23.57,nan
1,285.14,23.78,nan
2,233.89,23.89,nan
3,232.91,24.09,nan
4,216.67,24.41,nan
5,200.87,24.38,nan
6,116.69,24.11,nan
7,79.18,23.92,nan
8,74.74,23.80,nan
9,74.10,23.72,nan
10,74.06,23.56,nan
11,78.88,23.47,nan
12,84.60,23.27,nan
13,112.51,23.36,nan
14,167.43,23.35,nan
15,129.24,23.20,nan
16,92.70,23.49,nan
17,246.07,23.57,nan
18,365.70,23.68,nan
19,269.26,23.95,nan
20,147.53,23.98,nan
21,96.49,23.99,nan
22,105.56,24.01,nan
23,155.20,23.99,nan
