Hour,Temperature (C),Humidity (%),Energy (Wh)
0,135.15,26.70,289.94
1,267.26,23.57,nan
2,285.14,23.78,nan
3,233.89,23.89,nan
4,232.91,24.09,nan
5,216.67,24.41,nan
6,200.87,24.38,nan
7,116.69,24.11,nan
8,79.18,23.92,nan
9,74.74,23.80,nan
10,74.10,23.72,nan
11,74.06,23.56,nan
12,78.88,23.47,nan
13,84.60,23.27,nan
14,112.51,23.36,nan
15,167.43,23.35,nan
16,129.24,23.20,nan
17,92.70,23.49,nan
18,246.07,23.57,nan
19,365.70,23.68,nan
20,269.26,23.95,nan
21,147.53,23.98,nan
22,96.49,23.99,nan
23,105.56,24.01,nan
