Hour,Temperature (C),Humidity (%),Energy (Wh)
0,86.38,25.37,98.65
1,86.64,25.44,100.42
2,88.95,25.50,106.17
3,287.56,25.58,618.25
4,117.95,25.67,346.78
5,279.12,25.48,198.03
6,182.17,24.63,1113.10
7,446.22,24.25,595.07
8,441.23,24.64,470.97
9,89.17,24.91,133.50
10,86.38,25.24,86.62
11,105.53,25.40,777.20
12,206.20,25.53,551.92
13,205.58,25.31,705.92
14,271.10,25.31,354.52
15,433.05,25.39,1087.18
16,195.87,25.37,350.62
17,230.62,25.53,276.65
18,91.35,25.64,144.00
19,84.62,25.72,103.80
20,83.70,25.79,86.83
21,83.51,25.85,97.92
22,90.19,25.91,95.80
23,97.77,25.96,93.05
