Hour,Temperature (C),Humidity (%),Energy (Wh)
0,294.67,24.71,903.22
1,186.25,24.80,682.27
2,93.06,24.89,501.95
3,191.07,24.96,679.60
4,156.08,25.03,645.86
5,237.52,25.02,619.96
6,128.13,24.67,1051.15
7,221.71,24.47,1027.24
8,266.99,24.61,867.20
9,139.99,24.74,593.51
10,91.91,24.89,445.43
11,94.54,24.98,709.62
12,133.26,25.04,615.53
13,137.84,24.96,675.18
14,157.87,24.97,543.23
15,233.52,25.00,843.75
16,127.13,25.00,543.69
17,149.68,25.07,512.23
18,84.31,25.11,502.23
19,297.51,25.12,663.88
20,340.08,25.03,738.10
21,141.78,25.09,786.37
22,146.07,25.12,877.27
23,339.24,25.16,1028.77
