Hour,Temperature (C),Humidity (%),Energy (Wh)
0,433.53,24.27,1439.61
1,252.65,24.38,1070.18
2,95.80,24.47,765.80
3,126.75,24.55,720.51
4,181.50,24.60,845.25
5,209.78,24.72,901.25
6,92.10,24.69,1009.85
7,72.03,24.63,1315.36
8,150.83,24.59,1131.36
9,173.87,24.64,900.18
10,95.60,24.66,684.64
11,87.22,24.69,664.56
12,84.63,24.71,657.94
13,92.68,24.73,654.69
14,82.38,24.74,669.04
15,100.50,24.74,681.46
16,81.30,24.75,672.41
17,95.72,24.76,669.28
18,79.62,24.76,741.05
19,439.43,24.73,1037.27
20,511.00,24.53,1172.28
21,180.62,24.58,1245.33
22,183.33,24.60,1398.25
23,500.22,24.62,1652.58
