Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,5186.13,154.59,23.90,-18.88
S2,98.33,5096.66,147.73,24.20,-16.83
S3,95.83,4962.45,137.43,24.65,-13.75
