Hour,Temperature (C),Humidity (%),Energy (Wh)
0,239.59,24.68,177.42
1,134.72,24.32,184.13
2,89.18,23.92,480.67
3,128.22,23.86,439.56
4,114.13,24.06,230.47
5,113.77,24.71,286.27
6,141.60,24.65,417.38
7,209.10,24.22,292.48
8,261.33,24.31,280.62
9,295.39,24.44,331.20
10,272.62,24.65,309.10
11,252.40,24.84,284.42
12,173.27,24.95,212.50
13,93.22,24.92,95.83
14,71.36,24.89,71.47
15,69.47,24.88,106.03
16,90.32,24.86,68.10
17,79.75,24.86,116.12
18,60.13,24.88,89.58
19,90.33,25.28,102.25
20,85.78,24.96,80.52
21,55.82,24.83,103.47
22,88.38,24.82,97.23
23,88.42,24.83,105.63
