Hour,Temperature (C),Humidity (%),Energy (Wh)
0,125.97,24.42,132.67
1,115.27,24.22,127.46
2,64.15,24.06,243.94
3,112.53,24.04,230.56
4,77.56,24.13,144.48
5,103.78,24.39,177.95
6,92.57,24.36,280.93
7,225.43,24.13,268.61
8,174.64,23.86,513.44
9,277.92,23.67,366.53
10,258.40,23.68,289.82
11,255.57,23.93,289.78
12,220.21,24.44,259.70
13,185.28,24.22,218.16
14,184.76,24.13,202.43
15,168.67,24.18,242.41
16,205.19,24.21,197.55
17,173.97,24.37,222.58
18,134.01,24.63,163.15
19,71.41,24.51,102.45
20,88.31,24.35,100.53
21,64.02,24.29,101.66
22,81.79,24.30,103.97
23,84.00,24.32,115.91
