Hour,Temperature (C),Humidity (%),Energy (Wh)
0,50.23,24.24,102.83
1,102.30,24.15,89.68
2,47.47,24.15,86.12
3,102.07,24.15,91.22
4,53.18,24.17,87.15
5,97.12,24.18,105.73
6,59.88,24.16,189.97
7,236.32,24.07,252.69
8,116.85,23.56,668.65
9,266.28,23.15,390.08
10,248.92,23.03,276.97
11,257.68,23.33,293.35
12,251.50,24.10,291.17
13,246.65,23.74,299.72
14,260.36,23.63,289.73
15,234.81,23.72,333.33
16,281.77,23.77,283.85
17,236.78,24.04,293.55
18,183.27,24.46,212.20
19,58.79,24.00,102.58
20,90.00,23.94,113.87
21,69.48,23.93,100.45
22,77.40,23.94,108.47
23,81.05,23.98,122.77
