time,sPMV,baseline,flexibility_below,flexibility_above,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic_baseline,synthetic_flexibility_above,synthetic_flexibility_below,co2_ppm,forecasted_sPMV,synthetic_t_r,synthetic_rh_r,synthetic_energy
2024-07-01 00:00:00+00:00,1.36,84.08756944444445,75.70916666666668,91.27416666666667,74.5,28.92888650344448,56.8428812028333,0,0,0,1,1,1,547.0130236453773,-0.3325068,,,
2024-07-01 01:00:00+00:00,1.31,83.21534722222223,77.07916666666667,89.07833333333333,86.53,28.749357955000026,57.920483387861104,1,0,0,1,1,1,591.9357650551781,-0.33411714,,,
2024-07-01 02:00:00+00:00,1.26,80.86006944444445,73.06416666666667,87.81083333333332,85.53,28.562525092305503,58.45689503358333,2,0,0,1,1,1,413.5989558768629,-0.33446863,,,
2024-07-01 03:00:00+00:00,1.2,81.96569444444444,75.64666666666666,88.78166666666665,80.63,28.35109405782727,58.743682362117,3,0,0,1,1,1,519.619502806437,-0.33392003,,,
2024-07-01 04:00:00+00:00,1.13,119.72194444444445,103.1725,134.8758333333333,119.92,28.13480231505555,59.05968808036111,4,0,0,1,1,1,539.5001501736475,-0.33282766,,,
2024-07-01 05:00:00+00:00,1.12,172.82256944444444,149.79250000000002,198.07916666666665,168.38,28.06194132747224,59.62841055133329,5,0,0,1,1,1,626.0012795842882,-0.33137336,,,
2024-07-01 06:00:00+00:00,1.14,186.83564102564105,160.1423076923077,211.39692307692303,189.62,28.13560846111112,59.78767800866665,6,0,0,1,1,1,577.0872494158838,-0.32958448,,,
2024-07-01 07:00:00+00:00,1.17,113.02647435897435,90.02692307692308,146.5676923076923,123.38,28.263275517999965,59.41734172002775,7,0,0,1,1,1,873.2016333882597,-0.32733867,,,
2024-07-01 08:00:00+00:00,1.26,108.67442307692308,70.1323076923077,177.82076923076923,82.38,28.536330265333334,59.14405432788892,8,0,0,1,1,1,925.1511169410836,-0.32447115,,,
2024-07-01 09:00:00+00:00,1.32,167.19701388888888,87.1475,270.2991666666667,70.12,28.766445993983275,58.79837086072427,9,0,0,1,1,1,1094.157052496429,-0.32087234,,,
