Hour,Temperature (C),Humidity (%),Energy (Wh)
0,77.55,19.43,119.58
1,78.35,19.39,85.72
2,79.08,19.38,85.53
3,81.97,19.48,84.97
4,72.87,19.32,83.97
5,72.61,19.13,77.03
6,74.25,19.08,85.00
7,80.42,19.13,255.98
8,289.43,19.30,276.38
9,171.23,18.66,169.37
10,85.47,17.93,173.72
11,72.40,18.89,163.57
12,86.17,19.67,162.65
13,113.82,19.75,141.85
14,111.38,20.08,163.38
15,98.57,19.88,171.60
16,78.08,19.74,118.35
17,121.40,19.84,263.03
18,78.63,20.05,189.73
19,69.53,20.17,152.73
20,68.12,20.21,175.62
21,153.32,20.27,203.10
22,183.58,20.27,163.52
23,169.97,20.04,166.25
