Hour,Temperature (C),Humidity (%),Energy (Wh)
0,24.09,49.33,182.79
1,24.33,48.97,156.26
2,24.37,48.67,181.52
3,24.33,48.87,39.58
4,24.16,49.00,79.19
5,24.31,49.23,133.15
6,24.37,49.97,29.69
7,24.48,50.25,125.02
8,24.61,50.06,97.27
9,24.57,50.11,226.14
10,24.51,50.45,198.54
11,24.52,50.58,110.57
12,24.15,36.79,147.23
13,23.39,34.01,162.32
14,22.83,36.00,236.38
15,22.59,40.16,210.79
16,22.79,42.60,59.30
17,22.99,43.91,74.18
18,23.04,45.04,77.20
19,23.14,45.67,161.03
20,23.23,47.20,233.47
21,23.29,47.69,89.50
22,23.31,47.34,21.27
23,23.30,47.46,65.31
