Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,4309.50,99.21,22.33,-35.04
S2,98.33,4078.75,102.33,21.21,-27.81
S3,95.83,3732.63,107.01,19.54,-16.97
