Hour,Temperature (C),Humidity (%),Energy (Wh)
0,75.83,21.91,183.24
1,181.99,21.57,178.75
2,109.00,21.10,132.95
3,113.34,20.78,121.82
4,102.85,20.47,137.02
5,86.04,20.35,116.43
6,75.15,20.40,165.65
7,85.68,20.57,394.70
8,182.17,20.70,196.60
9,122.58,20.51,154.50
10,79.18,20.36,142.94
11,92.85,20.83,163.39
12,74.40,21.29,129.42
13,85.47,21.58,160.66
14,86.65,21.76,366.43
15,98.51,21.50,184.24
16,126.93,21.34,160.39
17,126.73,21.36,204.37
18,77.57,21.64,144.77
19,68.25,21.71,124.35
20,68.66,21.75,125.56
21,108.03,21.95,145.89
22,119.33,21.95,117.30
23,108.78,21.78,127.38
