Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,7492.57,483.97,24.44,45.81
S2,98.33,13751.63,nan,24.48,0.55
S3,95.83,23140.23,nan,24.54,-67.35
