Hour,Temperature (C),Humidity (%),Energy (Wh)
0,882.63,24.73,595.99
1,774.50,24.51,764.77
2,nan,24.45,619.25
3,588.48,24.44,771.39
4,592.18,24.36,746.61
5,638.23,24.40,925.80
6,nan,24.53,728.79
7,714.58,24.58,583.83
8,nan,24.56,404.17
9,nan,24.58,400.65
10,nan,24.56,426.53
11,nan,24.55,420.87
12,nan,24.61,417.26
13,708.59,24.68,559.11
14,nan,24.53,431.46
15,nan,24.42,465.34
16,nan,24.36,482.39
17,nan,24.33,454.85
18,nan,24.33,748.58
19,769.06,24.46,578.73
20,nan,24.61,451.47
21,689.31,24.49,643.08
22,nan,24.31,455.37
23,744.46,24.15,675.35
