Hour,Temperature (C),Humidity (%),Energy (Wh)
0,791.72,24.22,264.97
1,606.17,24.05,199.63
2,356.55,24.03,511.87
3,246.13,24.06,498.77
4,314.97,24.07,338.28
5,366.38,24.21,313.02
6,598.55,24.29,675.75
7,496.30,24.38,264.32
8,394.46,24.36,235.38
9,367.42,24.47,238.77
10,392.53,24.58,240.05
11,428.45,24.62,268.23
12,404.20,24.78,257.98
13,494.98,24.96,200.67
14,455.83,24.74,241.42
15,415.18,24.59,228.53
16,468.18,24.55,317.80
17,529.77,24.55,263.10
18,601.82,24.58,714.48
19,622.43,24.67,227.73
20,519.30,24.73,238.57
21,473.52,24.72,225.78
22,713.57,24.32,188.67
23,556.77,24.07,338.80
