time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,73.69,78.57,70.42
2025-06-04 01:00:00+00:00,0.0,74.96249999999999,81.07,70.77
2025-06-04 02:00:00+00:00,0.0,74.355,78.87,71.2
2025-06-04 03:00:00+00:00,0.0,73.45500000000001,76.47,70.7
2025-06-04 04:00:00+00:00,0.0,73.1475,74.77,71.67
2025-06-04 05:00:00+00:00,0.0,85.65,105.48,75.41
2025-06-04 06:00:00+00:00,0.0,153.625,257.4,80.82
2025-06-04 07:00:00+00:00,0.0,189.4325,240.38,105.08
2025-06-04 08:00:00+00:00,0.0,279.49,489.18,142.05
2025-06-04 09:00:00+00:00,0.0,433.94,635.33,311.53
2025-06-04 10:00:00+00:00,0.0,261.02500000000003,283.16,236.72
2025-06-04 11:00:00+00:00,0.0,279.74,359.19,237.85
2025-06-04 12:00:00+00:00,0.0,251.08,288.62,191.95
2025-06-04 13:00:00+00:00,0.0,236.14999999999998,283.95,183.85
2025-06-04 14:00:00+00:00,0.0,254.6375,281.63,235.27
2025-06-04 15:00:00+00:00,0.0,384.98,605.45,285.68
2025-06-04 16:00:00+00:00,0.0,272.015,284.68,261.32
2025-06-04 17:00:00+00:00,0.0,266.22249999999997,274.85,257.08
2025-06-04 18:00:00+00:00,0.0,181.54250000000002,195.27,161.9
2025-06-04 19:00:00+00:00,0.0,74.4875,76.58,71.65
2025-06-04 20:00:00+00:00,0.0,74.33749999999999,76.92,71.58
2025-06-04 21:00:00+00:00,0.0,76.595,81.7,72.05
2025-06-04 22:00:00+00:00,0.0,75.85499999999999,78.85,72.02
2025-06-04 23:00:00+00:00,0.0,75.7425,78.92,71.6
