time,sPMV,baseline,flexibility_below,flexibility_above,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic_baseline,synthetic_flexibility_above,synthetic_flexibility_below,co2_ppm,forecasted_sPMV
2024-07-01 00:00:00+00:00,1.31,85.61396739130437,65.33434782608697,104.69413043478262,53.25,28.75010852872223,57.57086067199999,0,0,0,1,1,1,472.4265750534093,-0.33005208
2024-07-01 01:00:00+00:00,1.3,81.09304347826087,63.52586956521737,100.65586956521742,103.29,28.70177515958332,57.83375735799999,1,0,0,1,1,1,645.0704089965848,-0.33094314
2024-07-01 02:00:00+00:00,1.28,80.46318840579711,60.40456521739132,98.56739130434784,71.03,28.622136878194443,58.20147300319445,2,0,0,1,1,1,513.841007681941,-0.33304784
2024-07-01 03:00:00+00:00,1.26,82.66565217391303,63.77021739130434,100.86978260869569,80.15,28.56750459069433,58.625503381138856,3,0,0,1,1,1,476.5383867705781,-0.33351907
2024-07-01 04:00:00+00:00,1.25,76.81414855072465,58.82456521739128,97.83673913043476,93.45,28.53046937630552,59.0051088015834,4,0,0,1,1,1,539.7198163389787,-0.3324602
2024-07-01 05:00:00+00:00,1.25,84.23054347826087,63.04717391304344,106.9367391304348,57.65,28.51252534697229,59.1325471031389,5,0,0,1,1,1,567.441066640115,-0.33096614
2024-07-01 06:00:00+00:00,1.25,117.45875000000002,70.49934782608696,192.6271739130433,109.02,28.517358738388868,59.1791765108611,6,0,0,1,1,1,611.9007684052181,-0.3291318
2024-07-01 07:00:00+00:00,1.21,180.08635869565214,101.29717391304348,280.8317391304346,238.15,28.3692760887778,59.9331102580833,7,0,0,1,1,1,842.7234105883241,-0.3268139
2024-07-01 08:00:00+00:00,1.19,267.13829710144927,139.3573913043478,460.7317391304347,139.7,28.314886607222217,59.43021221149995,8,0,0,1,1,1,939.453213381561,-0.3238438
2024-07-01 09:00:00+00:00,1.21,318.7070555555555,151.07333333333327,550.0104444444444,714.73,28.40449104239553,58.17227099526466,9,0,0,1,1,1,1016.7497134508424,-0.3201147
2024-07-01 10:00:00+00:00,1.05,429.5032789855072,230.7204347826087,661.203043478261,239.69,28.01696994055555,51.81925182341669,10,0,0,1,1,1,1228.7824610927623,-0.3155083
2024-07-01 11:00:00+00:00,0.88,368.6409239130437,214.4252173913043,513.4843478260871,279.47,27.50410946724997,49.08219565291665,11,0,0,1,1,1,1226.9136642600165,-0.30982724
2024-07-01 12:00:00+00:00,0.78,295.6154710144927,186.6595652173912,444.2565217391305,257.25,27.19105482493036,48.692254186072425,12,0,0,1,1,1,1200.0530764432788,-0.3027922
2024-07-01 13:00:00+00:00,0.7,271.08635869565217,166.49543478260867,424.25260869565216,251.15,26.934525437222227,47.62759007363885,13,0,0,1,1,1,1080.5988925065474,-0.29403397
2024-07-01 14:00:00+00:00,0.62,246.46869565217384,185.63695652173905,304.1060869565216,275.08,26.68127547952774,47.38878815949998,14,0,0,1,1,1,1037.0206738694046,-0.28303906
2024-07-01 15:00:00+00:00,0.56,290.8325555555556,210.28577777777787,414.1466666666665,282.67,26.46619206552779,47.45308341980554,15,0,0,1,1,1,1039.633038756073,-0.26931235
2024-07-01 16:00:00+00:00,0.54,314.2749456521739,215.51260869565223,438.9,267.15,26.37827563302777,48.56725727713889,16,0,0,1,1,1,1237.5281301904945,-0.25232634
2024-07-01 17:00:00+00:00,0.7,308.7957608695653,210.17913043478245,455.9749999999998,279.1,26.85460914549999,51.00653405727778,17,0,0,1,1,1,1208.4994579529712,-0.2313984
2024-07-01 18:00:00+00:00,0.79,224.72585144927527,160.69173913043477,285.6223913043478,131.82,27.1393871522222,52.46807807311112,18,0,0,1,1,1,954.4506599914693,-0.2058982
2024-07-01 19:00:00+00:00,0.79,156.1617572463768,106.85586956521745,205.3536956521739,98.66,27.100859006222244,54.13896692086109,19,0,0,1,1,1,830.4895486729937,-0.17294842
2024-07-01 20:00:00+00:00,0.8,117.87532608695652,81.1380434782609,156.87782608695653,66.15,27.125597274310856,54.99936161448679,20,0,0,1,1,1,801.8858756160067,-0.12958348
2024-07-01 21:00:00+00:00,0.81,105.19034420289854,72.88652173913044,146.40673913043472,80.12,27.12807085228409,56.26394109270193,21,0,0,1,1,1,715.2904224187203,-0.06942745
2024-07-01 22:00:00+00:00,0.82,91.22626811594206,67.45869565217392,121.43652173913044,87.43,27.158164581833343,56.80192057316668,22,0,0,1,1,1,603.2120587967477,-0.001842387
