time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,71.32249999999999,73.28,69.28
2025-06-04 01:00:00+00:00,0.0,71.3175,73.03,69.6
2025-06-04 02:00:00+00:00,0.0,70.555,72.33,69.22
2025-06-04 03:00:00+00:00,0.0,71.2425,73.02,69.43
2025-06-04 04:00:00+00:00,0.0,91.595,137.2,69.15
2025-06-04 05:00:00+00:00,0.0,125.175,139.57,90.78
2025-06-04 06:00:00+00:00,0.0,186.595,417.75,105.92
2025-06-04 07:00:00+00:00,0.0,83.33000000000001,120.1,64.6
2025-06-04 08:00:00+00:00,0.0,128.0975,308.74,64.73
2025-06-04 09:00:00+00:00,0.0,68.81,71.78,62.83
2025-06-04 10:00:00+00:00,0.0,193.5425,409.95,63.27
2025-06-04 11:00:00+00:00,0.0,93.6575,110.63,63.22
2025-06-04 12:00:00+00:00,0.0,80.58999999999999,104.92,66.2
2025-06-04 13:00:00+00:00,0.0,82.03999999999999,83.67,79.95
2025-06-04 14:00:00+00:00,0.0,77.84,106.77,63.82
2025-06-04 15:00:00+00:00,0.0,76.21,104.57,63.67
2025-06-04 16:00:00+00:00,0.0,112.5525,174.88,76.43
2025-06-04 17:00:00+00:00,0.0,233.1875,391.13,147.5
2025-06-04 18:00:00+00:00,0.0,218.1925,497.92,113.78
2025-06-04 19:00:00+00:00,0.0,192.4075,322.62,145.29
2025-06-04 20:00:00+00:00,0.0,179.95,216.1,142.78
2025-06-04 21:00:00+00:00,0.0,101.1525,127.77,71.77
2025-06-04 22:00:00+00:00,0.0,73.2525,76.03,71.02
2025-06-04 23:00:00+00:00,0.0,90.745,141.07,71.23
