time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,256.96999999999997,288.48,215.48
2025-06-04 01:00:00+00:00,0.0,262.2175,307.7,217.56
2025-06-04 02:00:00+00:00,0.0,277.6375,294.38,259.12
2025-06-04 03:00:00+00:00,0.0,283.325,321.8,263.22
2025-06-04 04:00:00+00:00,0.0,308.83,350.18,257.83
2025-06-04 05:00:00+00:00,0.0,385.97,495.17,261.55
2025-06-04 06:00:00+00:00,0.0,785.5775,985.47,493.62
2025-06-04 07:00:00+00:00,0.0,571.105,710.45,493.95
2025-06-04 08:00:00+00:00,0.0,505.93999999999994,634.43,402.88
2025-06-04 09:00:00+00:00,0.0,555.925,916.03,311.02
2025-06-04 10:00:00+00:00,0.0,878.065,1268.37,440.97
2025-06-04 11:00:00+00:00,0.0,683.3675,721.88,578.5
2025-06-04 12:00:00+00:00,0.0,311.9475,409.13,209.98
2025-06-04 13:00:00+00:00,0.0,237.2475,294.28,150.48
2025-06-04 14:00:00+00:00,0.0,386.65999999999997,469.18,232.38
2025-06-04 15:00:00+00:00,0.0,579.6925,1016.43,304.8
2025-06-04 16:00:00+00:00,0.0,363.455,531.47,231.85
2025-06-04 17:00:00+00:00,0.0,680.1625,805.35,519.1
2025-06-04 18:00:00+00:00,0.0,431.58,554.93,347.72
2025-06-04 19:00:00+00:00,0.0,392.99,563.57,294.67
2025-06-04 20:00:00+00:00,0.0,427.375,493.45,352.73
2025-06-04 21:00:00+00:00,0.0,337.43,452.43,244.57
2025-06-04 22:00:00+00:00,0.0,256.1,292.12,224.75
2025-06-04 23:00:00+00:00,0.0,277.06499999999994,330.65,220.62
