time,forecasted_sPMV
2025-05-20 00:00:00+00:00,-0.3316648
2025-05-20 01:00:00+00:00,-0.32799485
2025-05-20 02:00:00+00:00,-0.32871136
2025-05-20 03:00:00+00:00,-0.32920644
2025-05-20 04:00:00+00:00,-0.33014193
2025-05-20 05:00:00+00:00,-0.33116236
2025-05-20 06:00:00+00:00,-0.3321745
2025-05-20 07:00:00+00:00,-0.33047497
2025-05-20 08:00:00+00:00,-0.32808983
2025-05-20 09:00:00+00:00,-0.32502306
2025-05-20 10:00:00+00:00,-0.3211146
2025-05-20 11:00:00+00:00,-0.31616142
2025-05-20 12:00:00+00:00,-0.30987808
2025-05-20 13:00:00+00:00,-0.30192107
2025-05-20 14:00:00+00:00,-0.29191417
2025-05-20 15:00:00+00:00,-0.27935112
2025-05-20 16:00:00+00:00,-0.26333684
2025-05-20 17:00:00+00:00,-0.24455544
2025-05-20 18:00:00+00:00,-0.2213594
2025-05-20 19:00:00+00:00,-0.18782434
2025-05-20 20:00:00+00:00,-0.14028805
2025-05-20 21:00:00+00:00,-0.080496766
2025-05-20 22:00:00+00:00,-0.012763962
2025-05-20 23:00:00+00:00,0.07330012
