time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.3319552
2025-06-04 01:00:00+00:00,-0.33302203
2025-06-04 02:00:00+00:00,-0.33507976
2025-06-04 03:00:00+00:00,-0.33545908
2025-06-04 04:00:00+00:00,-0.33475074
2025-06-04 05:00:00+00:00,-0.33345705
2025-06-04 06:00:00+00:00,-0.3317851
2025-06-04 07:00:00+00:00,-0.32963887
2025-06-04 08:00:00+00:00,-0.32690078
2025-06-04 09:00:00+00:00,-0.32346192
2025-06-04 10:00:00+00:00,-0.3192016
2025-06-04 11:00:00+00:00,-0.3139395
2025-06-04 12:00:00+00:00,-0.30740058
2025-06-04 13:00:00+00:00,-0.29922253
2025-06-04 14:00:00+00:00,-0.28898844
2025-06-04 15:00:00+00:00,-0.27614024
2025-06-04 16:00:00+00:00,-0.2597935
2025-06-04 17:00:00+00:00,-0.23985395
2025-06-04 18:00:00+00:00,-0.21441615
2025-06-04 19:00:00+00:00,-0.17667809
2025-06-04 20:00:00+00:00,-0.13413113
2025-06-04 21:00:00+00:00,-0.07989106
2025-06-04 22:00:00+00:00,-0.0068252906
2025-06-04 23:00:00+00:00,0.076318696
