time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.33421183
2025-06-04 01:00:00+00:00,-0.3351946
2025-06-04 02:00:00+00:00,-0.33542502
2025-06-04 03:00:00+00:00,-0.33497173
2025-06-04 04:00:00+00:00,-0.33393183
2025-06-04 05:00:00+00:00,-0.33257854
2025-06-04 06:00:00+00:00,-0.33095613
2025-06-04 07:00:00+00:00,-0.32894453
2025-06-04 08:00:00+00:00,-0.326413
2025-06-04 09:00:00+00:00,-0.32326624
2025-06-04 10:00:00+00:00,-0.3193767
2025-06-04 11:00:00+00:00,-0.3145841
2025-06-04 12:00:00+00:00,-0.30868325
2025-06-04 13:00:00+00:00,-0.30136308
2025-06-04 14:00:00+00:00,-0.2922488
2025-06-04 15:00:00+00:00,-0.28087738
2025-06-04 16:00:00+00:00,-0.26662445
2025-06-04 17:00:00+00:00,-0.2488262
2025-06-04 18:00:00+00:00,-0.22709939
2025-06-04 19:00:00+00:00,-0.19547543
2025-06-04 20:00:00+00:00,-0.14567634
2025-06-04 21:00:00+00:00,-0.09191159
2025-06-04 22:00:00+00:00,-0.021986455
2025-06-04 23:00:00+00:00,0.072055094
