Hour,Temperature (C),Humidity (%),Energy (Wh)
0,151.68,24.19,252.92
1,159.76,24.27,141.51
2,187.17,24.32,325.42
3,198.71,24.35,257.24
4,174.62,24.33,168.96
5,124.29,24.33,162.55
6,112.97,24.35,140.16
7,104.77,24.36,108.36
8,131.18,24.33,130.63
9,110.95,24.34,138.65
10,161.95,24.28,322.65
11,143.84,24.24,171.01
12,184.82,24.27,239.72
13,140.12,24.30,172.34
14,121.91,24.36,136.56
15,104.28,24.38,228.83
16,104.36,24.34,107.72
17,150.60,24.29,175.05
18,109.34,24.27,137.93
19,104.14,24.25,124.94
20,111.03,24.22,142.19
21,112.15,24.18,128.53
22,118.87,24.39,195.87
23,158.50,24.19,212.08
