Hour,Temperature (C),Humidity (%),Energy (Wh)
0,73.12,24.58,344.55
1,158.15,24.60,169.37
2,228.18,24.72,197.32
3,155.88,24.72,163.45
4,128.13,24.62,153.65
5,95.17,24.55,139.75
6,100.32,24.48,98.55
7,80.73,24.39,105.25
8,105.87,24.32,108.60
9,74.45,24.26,109.47
10,105.52,24.20,105.17
11,82.45,24.16,157.15
12,226.02,24.18,259.00
13,128.37,24.25,182.43
14,102.63,24.40,106.47
15,72.35,24.46,293.70
16,101.80,24.53,91.13
17,233.08,24.60,218.35
18,131.62,24.73,158.53
19,121.46,24.84,144.67
20,132.83,24.88,135.12
21,131.23,24.89,103.50
22,75.63,25.46,108.64
23,104.98,24.93,91.92
