Hour,Temperature (C),Humidity (%),Energy (Wh)
0,24.89,49.96,125.13
1,24.90,50.44,182.79
2,24.91,50.19,156.26
3,24.94,50.88,181.52
4,24.91,49.39,39.58
5,24.79,48.38,79.19
6,24.84,50.00,133.15
7,24.82,50.52,29.69
8,24.80,50.63,125.02
9,24.78,50.47,97.27
10,24.77,50.45,226.14
11,24.75,50.28,198.54
12,24.73,50.27,110.57
13,24.73,50.16,147.23
14,24.69,50.31,162.32
15,24.64,50.37,236.38
16,24.65,50.75,210.79
17,24.37,44.90,59.30
18,24.13,44.45,74.18
19,24.40,47.39,77.20
20,24.53,48.75,161.03
21,24.74,49.41,233.47
22,24.90,50.11,89.50
23,24.88,50.31,21.27
