Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,4705.86,145.97,24.11,-20.67
S2,98.33,4321.81,136.75,24.30,-10.82
S3,95.83,3745.74,122.92,24.57,3.95
