Hour,Temperature (C),Humidity (%),Energy (Wh)
0,131.08,24.81,226.27
1,305.20,24.78,118.08
2,105.23,25.21,99.82
3,129.62,24.52,99.28
4,85.33,24.46,131.17
5,99.62,24.48,116.60
6,81.87,24.49,110.03
7,76.82,24.41,208.87
8,133.20,24.32,108.30
9,88.51,24.35,83.83
10,84.62,24.31,109.40
11,80.44,24.28,148.75
12,78.93,24.20,92.38
13,77.87,24.14,134.05
14,77.35,24.10,90.58
15,77.25,24.06,79.68
16,77.27,24.00,79.78
17,77.07,23.96,79.60
18,76.78,23.91,79.23
19,76.35,23.87,101.78
20,75.72,23.84,181.87
21,73.57,23.82,138.17
22,73.17,23.81,89.63
23,72.85,23.81,187.77
