Hour,Temperature (C),Humidity (%),Energy (Wh)
0,25.20,41.46,59.30
1,24.82,39.00,74.18
2,24.70,39.45,77.20
3,24.73,39.92,161.03
4,24.93,40.44,233.47
5,25.08,40.69,89.50
6,25.08,41.15,21.27
7,25.11,41.66,65.31
8,25.11,41.96,298.66
9,25.08,42.20,81.90
10,25.05,42.93,216.28
11,25.07,43.23,167.52
12,25.01,43.21,77.92
13,24.96,43.34,98.84
14,24.97,43.54,110.73
15,24.97,43.70,175.93
16,24.92,43.83,250.14
17,24.88,43.90,152.78
18,24.84,43.96,106.63
19,24.82,44.01,126.05
20,24.80,44.06,222.65
21,24.79,44.12,217.08
22,24.79,44.10,153.04
23,24.78,44.43,217.91
