Solution,Comfort (%),Energy (Wh),Avg Temp (C),Avg RH (%),Energy Savings (%)
S1,100.00,3253.85,86.82,24.24,-22.62
S2,98.33,3110.28,90.69,24.24,-17.21
S3,95.83,2894.92,96.49,24.25,-9.09
