Hour,Temperature (C),Humidity (%),Energy (Wh)
0,101.06,24.47,141.60
1,165.13,24.14,158.44
2,113.21,24.22,180.47
3,112.69,24.05,100.15
4,75.23,24.19,102.96
5,80.85,24.38,96.84
6,74.32,24.47,110.69
7,71.78,24.50,168.73
8,91.49,24.48,128.55
9,73.89,24.44,256.24
10,140.86,24.36,128.46
11,77.52,24.34,151.36
12,107.84,24.27,138.78
13,114.00,24.25,148.72
14,90.03,24.23,130.77
15,77.38,24.21,104.69
16,74.66,24.17,79.13
17,73.61,24.13,78.55
18,70.13,24.10,78.05
19,69.68,24.07,86.91
20,69.22,24.04,160.66
21,97.76,24.03,124.57
22,79.00,24.08,107.59
23,75.17,24.19,147.37
