Hour,Temperature (C),Humidity (%),Energy (Wh)
0,24.53,45.33,163.83
1,24.41,45.44,148.77
2,24.33,45.72,127.40
3,24.34,45.43,132.24
4,24.28,45.65,153.64
5,24.22,45.75,180.08
6,24.17,46.37,230.07
7,24.14,46.34,101.83
8,24.14,45.42,53.37
9,23.90,45.04,102.06
10,24.05,46.32,118.71
11,24.00,47.87,192.72
12,24.04,47.11,97.65
13,24.20,47.96,82.66
14,24.28,46.71,122.58
15,24.13,46.47,270.59
16,24.10,47.56,129.96
17,24.09,48.99,159.84
18,24.06,49.39,138.34
19,24.23,49.22,115.27
20,24.17,49.35,115.58
21,23.96,49.00,102.59
22,23.91,48.54,208.48
23,24.65,47.08,221.72
