Hour,Temperature (C),Humidity (%),Energy (Wh)
0,78.78,24.30,129.25
1,91.27,24.37,134.82
2,254.93,24.43,369.13
3,110.32,24.64,146.43
4,125.00,24.88,133.07
5,117.77,25.26,149.98
6,113.85,25.03,100.40
7,65.77,24.31,93.37
8,72.93,24.48,79.15
9,74.30,24.30,94.02
10,64.75,24.05,88.66
11,81.25,23.94,92.38
12,64.88,24.02,87.27
13,66.50,23.96,129.05
14,201.28,24.01,184.02
15,181.78,24.27,226.15
16,111.88,24.24,230.13
17,78.35,24.05,86.62
18,96.52,24.32,151.98
19,550.36,24.47,856.82
20,180.15,24.79,203.75
21,110.62,24.54,131.87
22,123.73,24.90,120.15
23,121.23,25.12,114.22
