Hour,Temperature (C),Humidity (%),Energy (Wh)
0,24.93,38.77,226.14
1,24.70,39.51,198.54
2,24.56,39.83,110.57
3,24.53,40.05,147.23
4,24.47,40.04,162.32
5,24.35,40.50,236.38
6,24.46,41.55,210.79
7,24.51,41.64,59.30
8,24.56,40.30,74.18
9,24.21,39.82,77.20
10,24.55,41.95,161.03
11,24.50,44.65,233.47
12,24.56,43.46,89.50
13,24.56,44.45,21.27
14,24.54,45.67,65.31
15,24.64,46.59,298.66
16,24.72,46.68,81.90
17,24.63,46.40,216.28
18,24.38,46.97,167.52
19,24.56,46.80,77.92
20,24.50,47.48,98.84
21,24.27,46.97,110.73
22,24.15,46.42,175.93
23,24.26,45.95,250.14
