time,energy_average,baseline,flexibility_above,flexibility_below
2025-06-04 00:00:00+00:00,0.0,91.9075,101.42,84.38
2025-06-04 01:00:00+00:00,0.0,87.615,93.55,82.77
2025-06-04 02:00:00+00:00,0.0,85.72500000000001,88.63,82.7
2025-06-04 03:00:00+00:00,0.0,84.0775,86.64,81.68
2025-06-04 04:00:00+00:00,0.0,84.66,86.47,80.8
2025-06-04 05:00:00+00:00,0.0,259.905,782.63,83.02
2025-06-04 06:00:00+00:00,0.0,294.5925,380.87,229.1
2025-06-04 07:00:00+00:00,0.0,132.3225,182.17,95.5
2025-06-04 08:00:00+00:00,0.0,184.6925,210.25,151.7
2025-06-04 09:00:00+00:00,0.0,216.92499999999998,396.7,127.25
2025-06-04 10:00:00+00:00,0.0,272.77750000000003,405.57,86.68
2025-06-04 11:00:00+00:00,0.0,635.3575000000001,1060.9,103.8
2025-06-04 12:00:00+00:00,0.0,166.135,306.4,92.92
2025-06-04 13:00:00+00:00,0.0,271.435,806.57,89.83
2025-06-04 14:00:00+00:00,0.0,575.4225,952.12,86.52
2025-06-04 15:00:00+00:00,0.0,235.4875,310.0,149.55
2025-06-04 16:00:00+00:00,0.0,170.72249999999997,232.98,89.05
2025-06-04 17:00:00+00:00,0.0,154.825,215.8,94.88
2025-06-04 18:00:00+00:00,0.0,272.7425,356.5,180.15
2025-06-04 19:00:00+00:00,0.0,288.0875,453.33,174.24
2025-06-04 20:00:00+00:00,0.0,166.38250000000002,191.58,145.87
2025-06-04 21:00:00+00:00,0.0,152.88500000000002,195.08,132.5
2025-06-04 22:00:00+00:00,0.0,149.8825,229.69,107.33
2025-06-04 23:00:00+00:00,0.0,104.65249999999999,135.95,88.07
