time,forecasted_sPMV
2025-05-20 00:00:00+00:00,-0.32638592
2025-05-20 01:00:00+00:00,-0.3253276
2025-05-20 02:00:00+00:00,-0.3244684
2025-05-20 03:00:00+00:00,-0.32332775
2025-05-20 04:00:00+00:00,-0.32182705
2025-05-20 05:00:00+00:00,-0.31992579
2025-05-20 06:00:00+00:00,-0.31766656
2025-05-20 07:00:00+00:00,-0.31493893
2025-05-20 08:00:00+00:00,-0.3115737
2025-05-20 09:00:00+00:00,-0.30743882
2025-05-20 10:00:00+00:00,-0.30238715
2025-05-20 11:00:00+00:00,-0.2962416
2025-05-20 12:00:00+00:00,-0.28875616
2025-05-20 13:00:00+00:00,-0.27956328
2025-05-20 14:00:00+00:00,-0.2682162
2025-05-20 15:00:00+00:00,-0.2542212
2025-05-20 16:00:00+00:00,-0.2369267
2025-05-20 17:00:00+00:00,-0.21535927
2025-05-20 18:00:00+00:00,-0.18836355
2025-05-20 19:00:00+00:00,-0.15442735
2025-05-20 20:00:00+00:00,-0.11164857
2025-05-20 21:00:00+00:00,-0.0585152
2025-05-20 22:00:00+00:00,0.0051715225
2025-05-20 23:00:00+00:00,0.077261135
