time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.3383173
2025-06-04 01:00:00+00:00,-0.3304061
2025-06-04 02:00:00+00:00,-0.33185068
2025-06-04 03:00:00+00:00,-0.33352283
2025-06-04 04:00:00+00:00,-0.33371228
2025-06-04 05:00:00+00:00,-0.3337731
2025-06-04 06:00:00+00:00,-0.3327179
2025-06-04 07:00:00+00:00,-0.3308485
2025-06-04 08:00:00+00:00,-0.32843438
2025-06-04 09:00:00+00:00,-0.3254678
2025-06-04 10:00:00+00:00,-0.3217402
2025-06-04 11:00:00+00:00,-0.31710038
2025-06-04 12:00:00+00:00,-0.31131163
2025-06-04 13:00:00+00:00,-0.3040242
2025-06-04 14:00:00+00:00,-0.2951345
2025-06-04 15:00:00+00:00,-0.2836774
2025-06-04 16:00:00+00:00,-0.26940575
2025-06-04 17:00:00+00:00,-0.25259534
2025-06-04 18:00:00+00:00,-0.23160502
2025-06-04 19:00:00+00:00,-0.19722351
2025-06-04 20:00:00+00:00,-0.1473862
2025-06-04 21:00:00+00:00,-0.06782084
2025-06-04 22:00:00+00:00,0.0010437593
2025-06-04 23:00:00+00:00,0.074190475
