time,sPMV,baseline,flexibility_below,flexibility_above,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic_baseline,synthetic_flexibility_above,synthetic_flexibility_below,co2_ppm,forecasted_sPMV,synthetic_t_r,synthetic_rh_r,synthetic_energy
2025-05-15 20:00:00+00:00,0.86,141.1725,141.1725,141.1725,141.1725,27.575874342188825,61.52578559030031,20,3,0,0,0,0,755.28517556918,-0.3353990018367767,,,
2025-05-15 21:00:00+00:00,0.88,119.01857142857143,119.01857142857143,119.01857142857143,119.01857142857143,27.757957324410967,61.49798499511299,21,3,0,0,0,0,723.6511108795232,-0.3324077725410461,,,
2025-05-15 22:00:00+00:00,0.89,99.90428571428572,99.90428571428572,99.90428571428572,99.90428571428572,27.82411539605349,61.63454360906383,22,3,0,0,0,0,676.5527396352143,-0.330771803855896,,,
2025-05-15 23:00:00+00:00,0.92,79.26666666666667,79.26666666666667,79.26666666666667,79.26666666666667,28.034717660048923,60.8025647781808,23,3,0,0,0,0,591.9547383544493,-0.3299292623996734,,,
2025-05-16 00:00:00+00:00,0.93,78.58,78.58,78.58,78.58,28.096778027438983,60.43703787751371,0,4,0,0,0,0,565.6434714718824,-0.3308406472206116,,,
2025-05-16 01:00:00+00:00,0.94,78.45,78.45,78.45,78.45,28.185819091370416,60.00269135048412,1,4,0,0,0,0,560.435023147896,-0.3350588381290436,,,
2025-05-16 02:00:00+00:00,0.94,79.11666666666666,79.11666666666666,79.11666666666666,79.11666666666666,28.18878714142495,59.77404014634565,2,4,0,0,0,0,398.3194817650563,-0.3359632790088653,,,
2025-05-16 03:00:00+00:00,0.94,77.70833333333333,77.70833333333333,77.70833333333333,77.70833333333333,28.16615420233764,59.557524438769065,3,4,0,0,0,0,494.2346185658325,-0.3483905494213104,,,
2025-05-16 04:00:00+00:00,0.94,76.64,76.64,76.64,76.64,28.173289154808646,59.27007171561002,4,4,0,0,0,0,547.2009704236696,-0.350627601146698,,,
2025-05-16 05:00:00+00:00,0.94,79.875,79.875,79.875,79.875,28.190374297743286,59.34283854299897,5,4,0,0,0,0,604.3712973065545,-0.3492823243141174,,,
2025-05-16 06:00:00+00:00,0.89,137.34142857142857,137.34142857142857,137.34142857142857,137.34142857142857,27.855857890641296,60.13108138156468,6,4,0,0,0,0,634.1736179383691,-0.345742791891098,,,
2025-05-16 07:00:00+00:00,0.89,110.06428571428572,110.06428571428572,110.06428571428572,110.06428571428572,27.811890640953752,60.12925497993003,7,4,0,0,0,0,839.301540132067,-0.3418248295783996,,,
2025-05-16 08:00:00+00:00,0.89,104.11,104.11,104.11,104.11,27.82179587557765,60.19158478367879,8,4,0,0,0,0,921.894326861532,-0.3403964042663574,,,
2025-05-16 09:00:00+00:00,0.87,110.22285714285714,110.22285714285714,110.22285714285714,110.22285714285714,27.693458483726346,60.511875021582064,9,4,0,0,0,0,1023.762506897092,-0.3396990597248077,,,
2025-05-16 10:00:00+00:00,0.86,196.66857142857145,196.66857142857145,196.66857142857145,196.66857142857145,27.602271007008625,60.40866496055649,10,4,0,0,0,0,1108.094419462589,-0.3396875560283661,,,
2025-05-16 11:00:00+00:00,0.85,152.49428571428572,152.49428571428572,152.49428571428572,152.49428571428572,27.53889119465926,60.844358160321065,11,4,0,0,0,0,1191.7854412011577,-0.3399277031421661,,,
2025-05-16 12:00:00+00:00,0.85,115.65,115.65,115.65,115.65,27.56562204308825,60.75866967562472,12,4,0,0,0,0,1215.9038803204387,-0.3401386141777038,,,
2025-05-16 13:00:00+00:00,0.86,160.93142857142857,160.93142857142857,160.93142857142857,160.93142857142857,27.64252752072704,60.65342086409354,13,4,0,0,0,0,1109.5514311751692,-0.340249091386795,,,
2025-05-16 14:00:00+00:00,0.88,189.17,189.17,189.17,189.17,27.770777093273978,59.98197739694181,14,4,0,0,0,0,1031.136948062997,-0.3402946591377258,,,
2025-05-16 15:00:00+00:00,0.89,90.51285714285711,90.51285714285711,90.51285714285711,90.51285714285711,27.8497588148418,59.81646060217651,15,4,0,0,0,0,1191.0683686251289,-0.3402544856071472,,,
2025-05-16 16:00:00+00:00,0.86,135.32571428571427,135.32571428571427,135.32571428571427,135.32571428571427,27.6471515031319,60.47053184965187,16,4,0,0,0,0,1135.1894438416664,-0.3394290208816528,,,
2025-05-16 17:00:00+00:00,0.86,148.72285714285712,148.72285714285712,148.72285714285712,148.72285714285712,27.605925283860305,60.63900214003787,17,4,0,0,0,0,1125.4527597072438,-0.3386080265045166,,,
2025-05-16 18:00:00+00:00,0.87,181.8114285714286,181.8114285714286,181.8114285714286,181.8114285714286,27.69826304731552,60.77696728555599,18,4,0,0,0,0,904.8021440429476,-0.3378723859786987,,,
2025-05-16 19:00:00+00:00,0.89,120.70714285714288,120.70714285714288,120.70714285714288,120.70714285714288,27.820564913576835,60.76144902340521,19,4,0,0,0,0,884.4840192219542,-0.3364477455615997,,,
2025-05-16 20:00:00+00:00,0.89,119.64714285714284,119.64714285714284,119.64714285714284,119.64714285714284,27.85196098980493,60.99151696920212,20,4,0,0,0,0,907.4979502938228,-0.3345848023891449,,,
2025-05-16 21:00:00+00:00,0.9,108.26857142857143,108.26857142857143,108.26857142857143,108.26857142857143,27.922114162427903,60.94619376710549,21,4,0,0,0,0,775.4664526024277,-0.3333106935024261,,,
2025-05-16 22:00:00+00:00,0.91,96.96285714285716,96.96285714285716,96.96285714285716,96.96285714285716,27.98491202115819,60.41377266054254,22,4,0,0,0,0,651.3961149153916,-0.3310489058494568,,,
2025-05-16 23:00:00+00:00,0.94,76.62833333333333,76.62833333333333,76.62833333333333,76.62833333333333,28.15718894419901,59.77812789096759,23,4,0,0,0,0,545.580854360156,-0.3296942710876465,,,
2025-05-17 00:00:00+00:00,0.94,76.625,76.625,76.625,76.625,28.2191155485896,59.502326544298974,0,5,1,0,0,0,481.7816171653417,-0.3323456346988678,,,
2025-05-17 01:00:00+00:00,0.96,78.03666666666668,78.03666666666668,78.03666666666668,78.03666666666668,28.322206092375115,59.34104489666061,1,5,1,0,0,0,455.3617365260491,-0.3428316712379455,,,
2025-05-17 02:00:00+00:00,0.95,79.315,79.315,79.315,79.315,28.26280918081045,59.875985474347694,2,5,1,0,0,0,475.97374410013,-0.3495126068592071,,,
2025-05-17 03:00:00+00:00,0.95,78.83333333333333,78.83333333333333,78.83333333333333,78.83333333333333,28.227807218046365,59.97199162039272,3,5,1,0,0,0,453.5070089458691,-0.3541561067104339,,,
2025-05-17 04:00:00+00:00,0.95,78.75333333333333,78.75333333333333,78.75333333333333,78.75333333333333,28.247345692703576,59.74632255497397,4,5,1,0,0,0,431.8416870922708,-0.3585853278636932,,,
2025-05-17 05:00:00+00:00,0.95,98.16333333333334,98.16333333333334,98.16333333333334,98.16333333333334,28.270469650820388,59.6632096645458,5,5,1,0,0,0,514.2310502425861,-0.3615785539150238,,,
2025-05-17 06:00:00+00:00,0.95,107.23833333333334,107.23833333333334,107.23833333333334,107.23833333333334,28.283655651565315,59.430472361996046,6,5,1,0,0,0,676.974777482606,-0.3637929856777191,,,
2025-05-17 07:00:00+00:00,0.94,110.86333333333334,110.86333333333334,110.86333333333334,110.86333333333334,28.20911255406507,59.504811263030206,7,5,1,0,0,0,738.4105712091895,-0.359747976064682,,,
2025-05-17 08:00:00+00:00,0.92,87.44333333333333,87.44333333333333,87.44333333333333,87.44333333333333,28.04608756136197,60.01889512815652,8,5,1,0,0,0,962.1135981490712,-0.3537555038928985,,,
2025-05-17 09:00:00+00:00,0.9,83.02166666666666,83.02166666666666,83.02166666666666,83.02166666666666,27.927733608675705,60.399882692228765,9,5,1,0,0,0,1017.2881314137971,-0.3505751192569732,,,
2025-05-17 10:00:00+00:00,0.9,125.97499999999998,125.97499999999998,125.97499999999998,125.97499999999998,27.86003223393461,60.684219011493646,10,5,1,0,0,0,1161.652173177448,-0.3482437431812286,,,
2025-05-17 11:00:00+00:00,0.89,226.09500000000003,226.09500000000003,226.09500000000003,226.09500000000003,27.8245237161192,60.79494614838305,11,5,1,0,0,0,1193.40623736195,-0.3467344939708709,,,
2025-05-17 12:00:00+00:00,0.89,96.125,96.125,96.125,96.125,27.84297554225465,60.88568290779629,12,5,1,0,0,0,1238.073519909815,-0.3455314934253692,,,
2025-05-17 13:00:00+00:00,0.9,91.31833333333331,91.31833333333331,91.31833333333331,91.31833333333331,27.91630449582407,60.68870171618519,13,5,1,0,0,0,1034.077444064186,-0.3445511758327484,,,
2025-05-17 14:00:00+00:00,0.91,91.86,91.86,91.86,91.86,27.9650955583142,60.48287634032452,14,5,1,0,0,0,1072.4415034135889,-0.3437033891677856,,,
2025-05-17 15:00:00+00:00,0.9,100.47333333333334,100.47333333333334,100.47333333333334,100.47333333333334,27.90908330543301,60.37236594744424,15,5,1,0,0,0,1083.1043156722897,-0.3429572284221649,,,
