time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.2658467
2025-06-04 01:00:00+00:00,-0.2633853
2025-06-04 02:00:00+00:00,-0.26134232
2025-06-04 03:00:00+00:00,-0.2592709
2025-06-04 04:00:00+00:00,-0.25744203
2025-06-04 05:00:00+00:00,-0.2560452
2025-06-04 06:00:00+00:00,-0.2548383
2025-06-04 07:00:00+00:00,-0.25367916
2025-06-04 08:00:00+00:00,-0.2523249
2025-06-04 09:00:00+00:00,-0.2503812
2025-06-04 10:00:00+00:00,-0.24756804
2025-06-04 11:00:00+00:00,-0.24407625
2025-06-04 12:00:00+00:00,-0.23977351
2025-06-04 13:00:00+00:00,-0.2342976
2025-06-04 14:00:00+00:00,-0.22712955
2025-06-04 15:00:00+00:00,-0.21609074
2025-06-04 16:00:00+00:00,-0.20145372
2025-06-04 17:00:00+00:00,-0.18335158
2025-06-04 18:00:00+00:00,-0.16066235
2025-06-04 19:00:00+00:00,-0.1319618
2025-06-04 20:00:00+00:00,-0.09529964
2025-06-04 21:00:00+00:00,-0.0482957
2025-06-04 22:00:00+00:00,0.010693908
2025-06-04 23:00:00+00:00,0.07963507
