Hour,Temperature (C),Humidity (%),Energy (Wh)
0,25.74,46.21,91.82
1,25.61,46.36,71.35
2,25.55,46.33,51.11
3,25.49,46.32,189.72
4,25.47,46.24,177.33
5,25.42,46.20,99.76
6,25.40,46.07,160.65
7,25.41,45.92,126.35
8,25.42,45.77,68.16
9,25.45,45.59,156.81
10,25.43,45.49,99.96
11,25.36,45.60,149.13
12,25.36,45.57,168.01
13,25.31,45.72,206.64
14,25.32,45.74,194.32
15,25.28,45.87,116.23
16,25.25,45.86,117.69
17,25.27,45.92,158.36
18,25.31,46.20,142.53
19,25.30,46.32,181.54
20,25.32,46.51,171.14
21,25.34,46.63,119.88
22,25.26,46.70,114.86
23,25.19,46.83,21.64
