Hour,Temperature (C),Humidity (%),Energy (Wh)
0,25.25,39.28,169.70
1,25.08,39.55,16.50
2,25.01,39.56,74.69
3,24.96,39.58,222.71
4,24.99,39.44,159.31
5,24.92,39.45,77.54
6,24.87,39.40,110.40
7,24.88,39.26,174.88
8,24.91,39.04,84.89
9,24.93,38.84,194.14
10,24.82,38.90,87.61
11,24.81,38.87,54.37
12,24.84,38.73,220.70
13,24.81,38.82,174.22
14,24.86,38.82,145.07
15,24.79,39.04,143.93
16,24.75,38.95,195.48
17,24.81,39.14,124.31
18,24.96,39.79,78.62
19,25.02,40.02,167.13
20,25.08,40.67,84.95
21,25.13,41.20,101.17
22,25.10,41.20,127.60
23,25.12,41.23,14.73
