Hour,Temperature (C),Humidity (%),Energy (Wh)
0,84.47,26.05,317.55
1,84.82,26.07,265.09
2,130.62,25.96,521.84
3,93.52,25.91,483.86
4,88.24,25.84,509.29
5,89.30,25.79,430.86
6,81.45,25.76,351.75
7,80.22,25.76,381.08
8,89.28,25.77,282.52
9,226.23,25.76,221.67
10,141.74,25.79,323.57
11,459.32,25.83,483.91
12,214.33,25.73,303.31
13,165.38,25.71,360.71
14,137.60,25.65,326.42
15,143.65,25.64,214.65
16,118.80,25.60,125.76
17,87.20,25.59,95.62
18,84.72,25.58,90.92
19,79.84,25.55,91.41
20,91.95,25.49,91.79
21,89.90,25.48,92.07
22,87.15,25.47,228.70
23,241.75,25.38,396.02
