Hour,Temperature (C),Humidity (%),Energy (Wh)
0,141.10,26.13,167.58
1,145.52,26.05,156.10
2,102.65,25.99,93.31
3,66.68,25.94,80.92
4,67.20,25.84,80.33
5,73.73,25.77,102.94
6,79.20,25.70,78.61
7,80.02,25.59,78.07
8,77.92,25.48,99.91
9,74.85,25.38,309.16
10,395.50,25.41,305.65
11,148.23,25.56,190.25
12,205.40,25.65,166.55
13,151.27,25.72,145.33
14,146.25,25.75,306.02
15,377.10,25.78,688.90
16,144.98,25.87,149.07
17,135.28,25.82,142.20
18,127.87,25.78,134.64
19,79.98,25.85,117.00
20,98.84,25.88,99.67
21,165.63,25.91,140.97
22,206.25,25.95,338.17
23,149.17,26.06,541.08
