time,sPMV,baseline,flexibility_below,energy_average,t_r,rh_r,hour,day_of_week,is_weekend,synthetic,co2_ppm,forecasted_sPMV
2025-04-23 19:00:00+00:00,0.29,317.48603235779314,133.25240780836685,225.36922008308,23.65130414969444,46.97877358327778,19,2,0,0.0,823.5055956048625,-0.33402303
2025-04-23 20:00:00+00:00,0.3,148.01858701376923,234.45834986286664,191.238468438318,23.75545507094966,47.02230747578214,20,2,0,0.0,797.7656799279905,-0.33408388
2025-04-23 21:00:00+00:00,0.32,174.000165301565,7.998597851624254,90.99938157659464,23.8431382647778,46.99870832255554,21,2,0,0.0,700.5627353164249,-0.33429858
2025-04-23 22:00:00+00:00,0.32,25.436304637771944,195.6682328310794,110.55226873442568,23.909581879055548,46.81472024919445,22,2,0,0.0,616.4977407422566,-0.33448195
2025-04-23 23:00:00+00:00,0.33,100.4098542020568,13.169256786928704,56.78955549449275,23.949443441194425,46.70620834566667,23,2,0,0.0,576.0253206299319,-0.33412093
2025-04-24 00:00:00+00:00,0.33,117.14690034999,9.652862301650432,63.39988132582021,23.947887362749984,46.80937160883335,0,3,0,0.0,468.9670253400348,-0.33338568
2025-04-24 01:00:00+00:00,0.33,341.1892039969041,108.74387762976964,224.9665408133369,23.93032808247907,47.13600330816156,1,3,0,0.0,468.5454948308423,-0.33658758
2025-04-24 02:00:00+00:00,0.32,102.0429171553584,15.95801910877058,59.0004681320645,23.88133217988885,47.18236193130557,2,3,0,0.0,595.8676882807431,-0.33841074
2025-04-24 03:00:00+00:00,0.23,166.37361343234437,199.6534196771068,183.0135165547256,23.241721153694435,46.38689033705553,3,3,0,0.0,425.6945156837188,-0.33764687
2025-04-24 04:00:00+00:00,0.1,242.34089690670496,133.97946269302932,188.1601797998672,22.292248964555554,47.78616130619445,4,3,0,0.0,544.2750248242207,-0.33820713
2025-04-24 05:00:00+00:00,0.07,58.54819743924374,7.346812012922934,32.94750472608334,22.07127551011112,47.404477829222216,5,3,0,0.0,562.7328060456349,-0.33754697
2025-04-24 06:00:00+00:00,0.11,175.6057017582167,10.246673679925635,92.92618771907117,22.40488805255554,47.41237465522224,6,3,0,0.0,609.8521095559291,-0.3356657
2025-04-24 07:00:00+00:00,0.14,266.61259325080266,155.0051380240883,210.80886563744548,22.59304200236772,46.63675412353764,7,3,0,0.0,733.9679170235097,-0.33541048
2025-04-24 08:00:00+00:00,0.17,312.93473190277086,203.94628986757644,258.44051088517364,22.77610986458329,47.51511640558336,8,3,0,0.0,966.9840982642615,-0.33563796
2025-04-24 09:00:00+00:00,0.22,226.07959815313603,110.76328141251771,168.42143978282687,23.134221273638897,48.79777958138886,9,3,0,0.0,1112.6698552907335,-0.33601698
2025-04-24 10:00:00+00:00,0.28,241.52831902941816,140.30890989851298,190.9186144639656,23.55066551663887,48.23218023497221,10,3,0,0.0,1100.5394427401618,-0.33622685
2025-04-24 11:00:00+00:00,0.28,45.58833360302939,202.3568518746251,123.97259273882725,23.580303590416623,48.34797985258334,11,3,0,0.0,1195.9519287631613,-0.33636072
2025-04-24 12:00:00+00:00,0.26,341.42531550593134,154.45806203258024,247.9416887692558,23.43768722385478,47.74847116930167,12,3,0,0.0,1250.5185425095167,-0.33631137
2025-04-24 13:00:00+00:00,0.26,47.85924197189813,56.86434012768133,52.36179104978973,23.45243720561104,47.01723090274998,13,3,0,0.0,1137.043539567314,-0.3361996
2025-04-24 14:00:00+00:00,0.26,279.6569303226292,155.10216254497809,217.37954643380365,23.435637744999987,46.693116219777785,14,3,0,0.0,961.3862110137712,-0.33601692
2025-04-24 15:00:00+00:00,0.26,95.59869216197308,158.95470314349902,127.27669765273606,23.42374825019441,46.57463495449994,15,3,0,0.0,1124.9443607927592,-0.33582896
2025-04-24 16:00:00+00:00,0.26,337.02712487615185,185.72906616292505,261.3780955195384,23.47141555219444,47.00739852069447,16,3,0,0.0,1275.61174553328,-0.3356791
2025-04-24 17:00:00+00:00,0.22,259.90539371238214,157.08116945187072,208.49328158212643,23.19474852936107,47.272170013694456,17,3,0,0.0,1118.1529406766251,-0.3354784
2025-04-24 18:00:00+00:00,0.22,272.1267503851912,245.2182590058836,258.6725046955374,23.13222538206127,47.12141603325905,18,3,0,0.0,822.9255285261312,-0.3352671
2025-04-24 19:00:00+00:00,0.24,79.08036147461787,49.91394210541833,64.49715179001811,23.32758157533334,47.19573364241665,19,3,0,0.0,899.4107495795537,-0.3351839
2025-04-24 20:00:00+00:00,0.28,159.93743156529305,240.6259419304703,200.28168674788168,23.56069326388887,47.49434993569447,20,3,0,0.0,790.0771780227982,-0.3352554
2025-04-24 21:00:00+00:00,0.29,223.0305632467324,136.19989105855413,179.61522715264326,23.67713738013885,47.57148245697222,21,3,0,0.0,628.5452793039392,-0.33532748
2025-04-24 22:00:00+00:00,0.3,277.96047617258296,170.00490354521276,223.98268985889783,23.74791522041672,47.58091764427778,22,3,0,0.0,556.0395954973108,-0.3349172
2025-04-24 23:00:00+00:00,0.32,37.52933470437264,25.163784155404034,31.346559429888337,23.84139041187322,47.31864945665705,23,3,0,0.0,608.7553571644404,-0.33370453
2025-04-25 00:00:00+00:00,0.32,347.4138792400847,96.28571316866108,221.8497962043729,23.86169386361116,47.31166920166664,0,4,0,0.0,523.380862720246,-0.3337549
2025-04-25 01:00:00+00:00,0.32,321.3696620701947,194.65292405518267,258.01129306268865,23.83974729328689,47.4327237439554,1,4,0,0.0,434.6251809632004,-0.3361065
2025-04-25 02:00:00+00:00,0.31,97.59584116890596,178.84848682004457,138.22216399447527,23.79272074141666,47.503659746444455,2,4,0,0.0,478.2180719534165,-0.34020087
2025-04-25 03:00:00+00:00,0.29,297.01644773467183,10.155265205848776,153.5858564702603,23.649859608833392,47.00815054575004,3,4,0,0.0,447.7898500840031,-0.3420422
2025-04-25 04:00:00+00:00,0.26,187.11493621737625,138.2883486648029,162.70164244108958,23.484970447999977,45.60992167780557,4,4,0,0.0,485.00243138888726,-0.34263608
2025-04-25 05:00:00+00:00,0.16,166.71213984388874,22.334382821007587,94.52326133244816,22.724803866333303,44.20361810274999,5,4,0,0.0,549.8639985281665,-0.34225318
2025-04-25 06:00:00+00:00,0.17,113.51071219791736,251.95167658207507,182.7311943899962,22.8445811325833,44.8398014600278,6,4,0,0.0,580.0002209953178,-0.34093028
2025-04-25 07:00:00+00:00,0.18,209.7296597740049,227.0160368989236,218.37284833646424,22.9116927150556,44.70966637947222,7,4,0,0.0,774.4401100719308,-0.3396133
2025-04-25 08:00:00+00:00,0.17,263.4899714909988,5.33340708841985,134.41168928970933,22.84935981816673,45.15764092327777,8,4,0,0.0,982.1376660654552,-0.33934784
2025-04-25 09:00:00+00:00,0.2,148.34677869155573,217.2383434623656,182.79256107696068,22.994859515111127,45.91898964775003,9,4,0,0.0,1042.0959020119312,-0.3392765
2025-04-25 10:00:00+00:00,0.22,227.14812867599343,232.6156889412771,229.88190880863527,23.160945732988825,46.06216888846369,10,4,0,0.0,1115.9028758804084,-0.33881304
2025-04-25 11:00:00+00:00,0.23,252.45196453706464,89.44770030855413,170.94983242280938,23.201110039722227,46.32216039241667,11,4,0,0.0,1296.8692120589692,-0.33833826
2025-04-25 12:00:00+00:00,0.21,256.7149759425182,182.0339187270848,219.3744473348015,23.11549878605556,46.85852702441667,12,4,0,0.0,1236.5518762692768,-0.33789548
2025-04-25 13:00:00+00:00,0.2,18.75976142535607,111.85224779056809,65.30600460796207,23.04263769338891,46.74183380327778,13,4,0,0.0,1162.622063241067,-0.3374603
2025-04-25 14:00:00+00:00,0.2,310.3689578523092,165.77381859781505,238.0713882250621,23.02627665899998,46.422249285277786,14,4,0,0.0,1031.7015796102537,-0.33702534
2025-04-25 15:00:00+00:00,0.2,165.4294466301823,86.10030328744244,125.76487495881236,23.02402646408328,46.63903168602778,15,4,0,0.0,1131.007259517564,-0.33661327
2025-04-25 16:00:00+00:00,0.2,94.73220549233342,81.6074868682169,88.16984618027516,23.00193908849588,46.5508833966852,16,4,0,0.0,1178.4450005237154,-0.33629042
2025-04-25 17:00:00+00:00,0.2,87.27698720016505,107.3817738809675,97.32938054056628,22.98960991933336,46.37929160877779,17,4,0,0.0,1158.8774882762063,-0.3359876
2025-04-25 18:00:00+00:00,0.19,174.3680947366661,36.82864293908279,105.59836883787445,22.964108563083336,46.50802643022223,18,4,0,0.0,954.480004795048,-0.33569857
2025-04-25 19:00:00+00:00,0.23,320.1461857482943,210.2781580021518,265.212171875223,23.20177986317547,47.69364101467967,19,4,0,0.0,891.1188874465279,-0.33547303
2025-04-25 20:00:00+00:00,0.25,136.58347698743555,88.22056752649407,112.4020222569648,23.36647140169443,47.63087575702777,20,4,0,0.0,808.0305651077584,-0.33541042
2025-04-25 21:00:00+00:00,0.26,270.65099458885913,101.23783713817885,185.944415863519,23.44808248458333,47.46126672955555,21,4,0,0.0,719.0916559297273,-0.3354719
2025-04-25 22:00:00+00:00,0.26,34.95156188638592,226.19581701364257,130.57368945001423,23.4612096203611,47.50011663455553,22,4,0,0.0,786.9094033577885,-0.33540794
2025-04-25 23:00:00+00:00,0.26,171.8564694765333,125.64582495798236,148.75114721725782,23.447943179027725,47.517105727638864,23,4,0,0.0,526.6690361252639,-0.33538848
2025-04-26 00:00:00+00:00,0.27,357.9986966817776,137.6962390657683,247.84746787377293,23.509276449138863,47.33852556052781,0,5,1,0.0,526.2144234920654,-0.3336077
2025-04-26 01:00:00+00:00,0.27,278.1280468080337,241.994025568606,260.0610361883198,23.53930036041779,47.33605883699163,1,5,1,0.0,514.7048373405878,-0.33637235
2025-04-26 02:00:00+00:00,0.27,76.0007843270613,224.34177493568225,150.17127963137176,23.52833167294444,47.44265911330555,2,5,1,0.0,450.24155004624106,-0.33743873
2025-04-26 03:00:00+00:00,0.25,181.02037200494576,42.87507734877519,111.94772467686047,23.39394364327778,47.33954734811112,3,5,1,0.0,465.42968193255535,-0.340443
2025-04-26 04:00:00+00:00,0.15,84.33853967713253,119.72340256928058,102.03097112320656,22.68877615947223,45.57573265502776,4,5,1,0.0,425.6794523322191,-0.34251338
2025-04-26 05:00:00+00:00,0.1,147.85149474176583,245.737945539422,196.794720140594,22.325748814083365,46.543076525527766,5,5,1,0.0,584.5778959701294,-0.34423515
2025-04-26 06:00:00+00:00,0.11,281.6103325683223,94.20867345183648,187.9095030100794,22.412943061222222,46.67534723275,6,5,1,0.0,665.2128622242076,-0.34346125
2025-04-26 07:00:00+00:00,0.13,278.4121583198357,94.0079964545986,186.21007738721715,22.48827650319445,47.07764989,7,5,1,0.0,784.2403970038278,-0.34135887
2025-04-26 08:00:00+00:00,0.13,82.34423642276103,49.34264864265605,65.84344253270854,22.5433141296378,47.30281620493035,8,5,1,0.0,995.7408344240037,-0.34057948
2025-04-26 09:00:00+00:00,0.14,332.9226178539045,28.92374787213868,180.9231828630216,22.583595636434577,47.183068745571,9,5,1,0.0,947.0937493133204,-0.34050044
2025-04-26 10:00:00+00:00,0.17,213.9171139781025,187.2971120612634,200.6071130196829,22.785498766777817,47.73601847761108,10,5,1,0.0,1084.6573299242827,-0.34019807
2025-04-26 11:00:00+00:00,0.21,137.15266903728724,194.81770858148369,165.98518880938545,23.063165298888894,47.7795870992778,11,5,1,0.0,1191.5010406894537,-0.33955288
2025-04-26 12:00:00+00:00,0.21,181.1987446618907,245.16027976625892,213.17951221407483,23.10877618786112,47.938763555194406,12,5,1,0.0,1141.3858751548523,-0.3389799
2025-04-26 13:00:00+00:00,0.2,218.43072249102548,195.67480735905684,207.0527649250412,22.98466488005556,47.71077233436109,13,5,1,0.0,1032.564348129064,-0.3383945
2025-04-26 14:00:00+00:00,0.18,202.1204819963285,61.56818099050047,131.8443314934145,22.90190888011141,47.52135280520892,14,5,1,0.0,1024.6052017480777,-0.33785203
2025-04-26 15:00:00+00:00,0.18,175.59221782856034,10.149494306994407,92.87085606777735,22.87749782619444,47.44366107527779,15,5,1,0.0,1154.7010043530372,-0.33736765
2025-04-26 16:00:00+00:00,0.18,182.28074227627343,249.31565824552405,215.7982002608988,22.85127709083337,46.82730880291666,16,5,1,0.0,1264.1054195713257,-0.33695078
2025-04-26 17:00:00+00:00,0.17,63.68469966446691,86.13402597253226,74.90936281849959,22.83652673202777,46.585921658222254,17,5,1,0.0,1092.6356058397314,-0.3365508
2025-04-26 18:00:00+00:00,0.17,293.39657845398926,78.92880023540245,186.16268934469585,22.822526068111028,46.7196892948889,18,5,1,0.0,996.6607918810796,-0.33619592
2025-04-26 19:00:00+00:00,0.18,195.5754754987065,229.20666806659372,212.39107178265016,22.86291138419444,47.177456940583326,19,5,1,0.0,911.8271019037834,-0.33593127
2025-04-26 20:00:00+00:00,0.22,47.31983007539782,148.0302743318815,97.67505220363964,23.159762066295304,47.754285063231215,20,5,1,0.0,860.9304087167249,-0.33578643
2025-04-26 21:00:00+00:00,0.23,276.58271367138286,54.36240698383104,165.47256032760694,23.26177562138884,47.805045625944445,21,5,1,0.0,702.4904484822999,-0.335759
2025-04-26 22:00:00+00:00,0.3,336.6122761942236,224.9413494072086,280.77681280071613,23.760414065527765,46.44639879863886,22,5,1,0.0,550.0749752407663,-0.3355252
