time,forecasted_sPMV
2025-06-04 00:00:00+00:00,-0.33289164
2025-06-04 01:00:00+00:00,-0.33309013
2025-06-04 02:00:00+00:00,-0.33487263
2025-06-04 03:00:00+00:00,-0.33510813
2025-06-04 04:00:00+00:00,-0.33434245
2025-06-04 05:00:00+00:00,-0.33307043
2025-06-04 06:00:00+00:00,-0.3314304
2025-06-04 07:00:00+00:00,-0.32937032
2025-06-04 08:00:00+00:00,-0.32674953
2025-06-04 09:00:00+00:00,-0.32342663
2025-06-04 10:00:00+00:00,-0.31932378
2025-06-04 11:00:00+00:00,-0.31427893
2025-06-04 12:00:00+00:00,-0.30802935
2025-06-04 13:00:00+00:00,-0.3002506
2025-06-04 14:00:00+00:00,-0.2905095
2025-06-04 15:00:00+00:00,-0.27826932
2025-06-04 16:00:00+00:00,-0.26286468
2025-06-04 17:00:00+00:00,-0.24412125
2025-06-04 18:00:00+00:00,-0.22034976
2025-06-04 19:00:00+00:00,-0.18650687
2025-06-04 20:00:00+00:00,-0.1395947
2025-06-04 21:00:00+00:00,-0.07841631
2025-06-04 22:00:00+00:00,-0.0010451749
2025-06-04 23:00:00+00:00,0.07531944
